Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
28,Ciara O'Rourke,"Greta Thunberg said the world would end on June 21, 2023.",Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
29,Ciara O'Rourke,Video shows Tucker Carlson advertising Affordable Care Act subsidies.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
30,Sofia Bliss-Carrascosa,"""We have plans to build a railroad from the Pacific all the way across the Indian Ocean.""",Joe Biden,"June 22, 2023",FALSE,FAKE,0,FAKE,
31,Ciara O'Rourke,The Titan “submarine never happened. They faked their own deaths.”,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
32,Ciara O'Rourke,Video shows Dr. Anthony Fauci getting “confronted on what was exposed about him last night.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
33,Ciara O'Rourke,Video shows former President Donald Trump saying an impostor is pretending to be President Joe Biden.,Viral image,"June 22, 2023",FALSE,FAKE,0,FAKE,
34,Ciara O'Rourke,The U.S. Department of Agriculture requires anyone with a garden to “register that with the government.”,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
35,Loreben Tuquero,Titan submersible passenger Shahzada Dawood is the World Economic Forum’s vice chairman.,Instagram posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
36,Ciara O'Rourke,The Guantanamo Bay detention camp remaining open is proof that Joe Biden is not the president.,Facebook posts,"June 22, 2023",pants-fire,FAKE,0,FAKE,
37,Tom Kertscher,The Pentagon “said we accidentally sent $6.2 billion to Ukraine.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
38,Maria Briceño,"""Autoridades confirmaron el rescate” del submarino Titan el 21 de junio de 2023.",TikTok posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
39,Ciara O'Rourke,Video shows “CBS Mornings” host Gayle King interviewing Elon Musk about a new project ensuring Canadians “won’t have to work anymore.”,Viral image,"June 22, 2023",FALSE,FAKE,0,FAKE,
40,Amy Sherman,"In 2020 the ballots that were counted ""were fake ballots.""",Donald Trump,"June 22, 2023",pants-fire,FAKE,0,FAKE,
41,Grace Abels,“New California bill charges parents with child abuse for refusing to ‘affirm’ their kid’s gender identity.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
42,Ciara O'Rourke,“Man sues McDonalds for still being depressed after eating happy meal.”,Viral image,"June 22, 2023",pants-fire,FAKE,0,FAKE,
43,Tom Kertscher,The Titan submersible was found June 21 with all five passengers alive.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
44,Ciara O'Rourke,The five people aboard the Titan submersible “have been found dead.”,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
45,Sevana Wenn,"“Think about parents who show up at school board meetings. By this DOJ, they’re called domestic terrorists.”",Tim Scott,"June 22, 2023",FALSE,FAKE,0,FAKE,
46,Tom Kertscher,A lawyer for former President Donald Trump released new proof of 2020 election fraud.,Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
47,Maria Briceño,"""Mel Gibson ha hecho cuatro documentales tremendos sobre este tema: tráfico de niños"".",Facebook posts,"June 22, 2023",FALSE,FAKE,0,FAKE,
48,Sara Swann,“Monkey virus DNA found in COVID-19 shots”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
49,Ciara O'Rourke,Recent haze in New York City was caused by “Bill Gates’ sun-dimming technology.”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
50,Ciara O'Rourke,Video shows “Mel Gibson exposing Hollywood elites and the satanic child trafficking.”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
51,Maria Briceño,"""Twenty-six out of every 100 students” in K-12 speak Spanish.",Joe Biden,"June 21, 2023",half-true,REAL,1,,REAL
52,Jeff Cercone,Videos and photos of military vehicles are proof of “war prep” and looming military action within the U.S.,Hal Turner Radio Show,"June 21, 2023",FALSE,FAKE,0,FAKE,
53,Amy Sherman,"Photo shows President Joe Biden sitting with “Lisa Monaco, second in charge of the DOJ, probably working on future Plots and Schemes against Republicans.”",Donald Trump,"June 21, 2023",barely-true,FAKE,0,FAKE,
54,Ciara O'Rourke,“Mel Gibson child sex-trafficking documentary blocked by Hollywood!”,Facebook posts,"June 21, 2023",FALSE,FAKE,0,FAKE,
55,Ciara O'Rourke,“Unprecedented UFO landing” in Las Vegas.,Bloggers,"June 21, 2023",FALSE,FAKE,0,FAKE,
56,Ciara O'Rourke,A video shows a child yelling an expletive at President Joe Biden.,Viral image,"June 20, 2023",pants-fire,FAKE,0,FAKE,
57,Loreben Tuquero,"Particulate matter, found in wildfire smoke, has “no effect” on human health and is “total junk science.”",Steve Milloy,"June 20, 2023",FALSE,FAKE,0,FAKE,
58,Maria Briceño,"Una iglesia fue “quemada por un rayo en Boston, EE. UU. durante una ceremonia de boda gay. Este 5 de mayo de 2023, sin sobrevivientes entre los participantes”.",Tweets,"June 20, 2023",FALSE,FAKE,0,FAKE,
59,Tom Kertscher,Former Attorney General Bill Barr “says Donald Trump is a spy.”,Mark Kaye,"June 20, 2023",FALSE,FAKE,0,FAKE,
60,Marta Campabadal,“Arma que EE.UU. le dio a Ucrania es vista en manos de cártel”.,Facebook posts,"• June 20,",FALSE,FAKE,0,FAKE,
61,Maria Briceño,"Científicos descubren que al “consumir 3 tazas de leche diaria, las personas tienen más riesgos de desarrollar cáncer de mama”.",Facebook posts,"June 20, 2023",barely-true,FAKE,0,FAKE,
62,Ciara O'Rourke,“Ringing in your ears can cause total shutdown in under two years” but a pill can make tinnitus disappear.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
63,Jeff Cercone,"Protests of (Sisters of Perpetual Indulgence) at a Los Angeles Dodgers game led to a ""virtually empty stadium for the game itself.”",Ron DeSantis,"June 19, 2023",FALSE,FAKE,0,FAKE,
64,Ciara O'Rourke,Video shows “current weather situation in Karachi.”,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
65,Ciara O'Rourke,Video is evidence the moon landing was faked because someone would have had to stay behind to film,Instagram posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
66,Tom Kertscher,"Recent wildfires put more carbon in the atmosphere than ""the human race has put out in the last 100 years.""",Instagram posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
67,Ciara O'Rourke,“Breaking dead DNC leaker has just been identified.”,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
68,Ciara O'Rourke,Video shows singer Tim McGraw talking about diet gummies.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
69,Ciara O'Rourke,Video shows Elon Musk talking about an “AI cryptocurrency trading platform” he launched.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
70,Ciara O'Rourke,Video shows former President Donald Trump addressing the nation on June 16.,Facebook posts,"June 19, 2023",FALSE,FAKE,0,FAKE,
71,Ciara O'Rourke,Image shows a fall revealing President Joe Biden’s diaper.,Viral image,"June 19, 2023",pants-fire,FAKE,0,FAKE,
72,Conor Amendola,"A printer error in Nassau County, New York, turned every registered voter Democratic.",Tweets,"June 19, 2023",barely-true,FAKE,0,FAKE,
73,Cameron Carr,"“For every dollar in federal taxes my constituents pay, we get a mere 93 cents back.”",Nick LaLota,"June 19, 2023",mostly-true,REAL,1,,REAL
74,Maria Ramirez,"""Per capita, more Floridians move to California than Californians moving to Florida.”",Gavin Newsom,"• June 19,",mostly-true,REAL,1,,REAL
75,Grace Abels,"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”",Joe Biden,"June 16, 2023",mostly-true,REAL,1,,REAL
76,Marta Campabadal,"""Panico en Moscu Putin anuncia que Ucrania toma la ciudad"".",Facebook posts,"• June 16,",pants-fire,FAKE,0,FAKE,
77,Gabrielle Settles,Says a video showing water inside a glass on a spaceflight proves space isn’t real,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
78,Madison Czopek,Displaying the progress pride flag between two American flags during a White House pride event was “in breach of US Flag Code.”,Roger Marshall,"June 16, 2023",FALSE,FAKE,0,FAKE,
79,Andy Nguyen,“Pfizer funneled $12 million to CNN anchor Anderson Cooper as part of a deal to promote mRNA COVID jabs to the American public.”,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
80,Samantha Putterman,A Boston church burned during “a homosexual marriage” and there were no survivors.,TikTok posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
81,Ciara O'Rourke,Country singer Miranda Lambert is giving away “free belly melt kits.”,Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
82,Ciara O'Rourke,“The United Nations replaces all 193 country flags with LGBT flags.”,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
83,Ciara O'Rourke,The military arrested the administrator of the Small Business Administration.,Viral image,"June 16, 2023",pants-fire,FAKE,0,FAKE,
84,Gabrielle Settles,"""Silenciaron al Dr. Sebi"" por decir que ciertos vegetales ""son productos de laboratorio"".",Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
85,Ciara O'Rourke,Video shows an aide to former President Donald Trump “grilling” former President Barack Obama.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
86,Ciara O'Rourke,Photo shows former President Donald Trump “dancing with a 13-year-old girl” on Jeffrey Epstein’s private island.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
87,Maria Briceño,"Este video muestra ""extraterrestres en Las Vegas captados por una cámara de seguridad"".",Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
88,Ciara O'Rourke,Video shows former President Donald Trump attacking the Clintons in 2023.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
89,Ciara O'Rourke,A photo shows Australian TV host David Koch being detained by police.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
90,Marta Campabadal,This video shows a cartel member in Mexico carrying a Javelin that the U.S. sent to Ukraine.,TikTok posts,"• June 15,",FALSE,FAKE,0,FAKE,
91,Ciara O'Rourke,Former President Donald Trump rescued deformed children who were born into sex slavery in tunnels under Central Park in New York.,Instagram posts,"June 14, 2023",pants-fire,FAKE,0,FAKE,
92,Tom Kertscher,"Smoke that covered New York, New Jersey and Connecticut after the Canadian wildfires “was a planned operation in geoengineering.”",Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
93,Sara Swann,“A Ukrainian tank uses a house as camouflage.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
94,Ciara O'Rourke,Gabby Petito’s last text to her mother included an acronym for “Send The Authorities Now.”,Facebook posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
95,Ciara O'Rourke,“Mel Gibson has announced he has been secretly working on a 4 part docu series exposing the 34 billion dollar global child sex trafficking trade.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
96,Ciara O'Rourke,Recent wildfires in Canada were simultaneously ignited using weapons.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
97,Loreben Tuquero,“The White House Gift Shop is putting out a commemorative coin for Donald Trump's indictment.”,Bill Cassidy,"June 13, 2023",half-true,REAL,1,,REAL
98,Ciara O'Rourke,Video shows an aide to U.S. Rep. Nancy Pelosi snapping at former U.S. Rep. Trey Gowdy.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
99,Ciara O'Rourke,Recent wildfires in California were planned to clear land for a high-speed rail system.,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
100,Sara Swann,“They are trying to throw Trump in jail for the rest of his life for having a couple dozen documents that he had authority to declassify.”,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
101,Sarah Bahari,"Barack Obama said that Iran has a “right” to nuclear technology, including weapons.",Ted Cruz,"June 13, 2023",barely-true,FAKE,0,FAKE,
102,Gabrielle Settles,"Trump ""hasn't been 'indicted.' It's all part of the Operation.”",Facebook posts,"June 13, 2023",pants-fire,FAKE,0,FAKE,
103,Ciara O'Rourke,"Video shows U.S. Rep. Jim Jordan asking U.S. Rep. Jerry Nadler, “What are you hiding?”",Facebook posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
104,Amy Sherman,Donald Trump “never changed one immigration law.”,Chris Christie,"June 12, 2023",mostly-true,REAL,1,,REAL
105,Samantha Putterman,"Photo of woman in Team Trump attire is Aileen Cannon, the Trump-appointed judge presiding over the classified documents case.",Tweets,"June 12, 2023",FALSE,FAKE,0,FAKE,
106,Grace Abels,Las personas atraídas a los menores de edad “ya tienen su bandera del orgullo”.,TikTok posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
107,Ciara O'Rourke,Video shows cattle killed by COVID-19 vaccines.,Viral image,"June 12, 2023",FALSE,FAKE,0,FAKE,
108,Loreben Tuquero,"“Hundreds of thousands of innocent people died” from taking the drug azidothymidine, or AZT.",Instagram posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
109,Ciara O'Rourke,“There is no war in Ukraine.”,Facebook posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
110,Ciara O'Rourke,Video shows Elon Musk and Jack Ma presenting “a new software called ‘Quantum AI.’”,Facebook posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
111,Ciara O'Rourke,“Publix drops Ben and Jerry’s ‘for the good of our kids.’”,Bloggers,"June 9, 2023",FALSE,FAKE,0,FAKE,
112,Ciara O'Rourke,"“Cocaine, porn, evidence of child trafficking found in (Gov. Gretchen) Whitmer’s car.”",TikTok posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
113,Maria Ramirez,"“A place like California, they give (immigrants in the country illegally) benefits. They give unemployment checks.”",Ron DeSantis,"• June 9,",half-true,REAL,1,,REAL
114,Gabrielle Settles,"“Italy announced they are changing LGBT Pride month to Family Pride Month,” in order to “celebrate traditional families.”",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
115,Louis Jacobson,“The family separation policy actually began under the Obama administration.”,Mike Pence,"June 8, 2023",FALSE,FAKE,0,FAKE,
116,Marta Campabadal,"Video muestra un arresto de ""inmigrantes en Florida"".",Facebook posts,"• June 8,",FALSE,FAKE,0,FAKE,
117,Ciara O'Rourke,"“Military, Trump thwart deep state blackout.”",Facebook posts,"June 8, 2023",pants-fire,FAKE,0,FAKE,
118,Ciara O'Rourke,Footage shows Canada’s wildfires were “planned.”,Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
119,Grace Abels,"A movement representing ""minor attracted people"" has adopted a flag that is being integrated into LGBTQ+ advocacy.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
120,Loreben Tuquero,"President Joe Biden showed signs of cognitive decline when he walked away from an Air Force Falcons presentation with a jersey, snubbing a signed football and helmet.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
121,Sara Swann,The wildfires in Canada were planned.,TikTok posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
122,Gabrielle Settles,“An 11-year-old boy saved the lives of two people on the same day.”,Instagram posts,"June 7, 2023",TRUE,REAL,1,,REAL
123,Samantha Putterman,"Amazon’s “Utopia” TV series predicted the COVID-19 pandemic and an intentional effort to sterilize humans, showing the pandemic was planned.",TikTok posts,"June 7, 2023",pants-fire,FAKE,0,FAKE,
124,Madeline Heim,The COVID vaccine “has been proven to have negative efficacy.”,Ron Johnson,"June 7, 2023",FALSE,FAKE,0,FAKE,
125,Gabrielle Settles,"Jamie Foxx tras una coagulación de sangre en el cerebro ""habría quedado ciego y paralizado"" debido a una ""dosis de vacuna contra el coronavirus"".",Facebook posts,"June 7, 2023",FALSE,FAKE,0,FAKE,
126,Madison Czopek,"“New tapes” of Nancy Pelosi show that the Jan. 6, 2021, attack on the U.S. Capitol “was all planned.”",Benny Johnson,"June 6, 2023",FALSE,FAKE,0,FAKE,
127,Loreben Tuquero,Photos show Target selling children’s clothing with satanic imagery.,Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
128,Maria Briceño,"Disney ""acaba de publicar"" que no puedes entrar a sus parques en Florida y California ""sin que tus hijos reconozcan que no le pueden llamar a un niño él o ella"".",Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
129,Sara Swann,Texas Attorney General Ken Paxton was “caught on tape saying he discarded 2.5 million mail-in ballots in Texas.”,TikTok posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
130,Tom Kertscher,Boiling tap water causes fluoride in the water to be “more toxic.”,Facebook posts,"June 6, 2023",pants-fire,FAKE,0,FAKE,
131,Sevana Wenn,The average amount of assistance for the Supplemental Nutrition Assistance Program is $6 a day.,Pramila Jayapal,"June 6, 2023",mostly-true,REAL,1,,REAL
132,Louis Jacobson,"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",Nikki Haley,"June 6, 2023",FALSE,FAKE,0,FAKE,
133,Loreben Tuquero,"In a simulation, an AI-enabled drone operated by the U.S. Air Force killed its operators and “started taking out communication towers.”",Instagram posts,"June 5, 2023",FALSE,FAKE,0,FAKE,
134,Maria Ramirez,"Donald Trump ""wanted to amnesty 2 million illegal aliens in 2018 when he was president.""",Ron DeSantis,"• June 5,",mostly-true,REAL,1,,REAL
135,Gabrielle Settles,“Jamie Foxx left ‘paralyzed and blind’ from blood clot in his brain” after a COVID-19 vaccine injection.,Charlie Kirk,"June 5, 2023",FALSE,FAKE,0,FAKE,
136,Julie Appleby,"""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.”",Al Franken,"June 5, 2023",mostly-true,REAL,1,,REAL
137,Grace Abels,"The blue, pink, and white colors in the progress pride flag represent pedophiles",Facebook posts,"June 2, 2023",pants-fire,FAKE,0,FAKE,
138,Jeff Cercone,"""The European Union is now warning pregnant women not to get the COVID-19 vaccine due to the possibility of infertility and miscarriage.”",Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
139,Loreben Tuquero,Photos show “Elon Musk and his company are in the final stages of making a Robot Wife.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
140,Louis Jacobson,"""Every study has shown” that when work requirements are tied to federal safety-net programs, “it puts more people to work.”",Kevin McCarthy,"June 1, 2023",barely-true,FAKE,0,FAKE,
141,Tom Kertscher,"The U.S. ""takes 87% of all the prescription medications in the world.""",Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
142,Gabrielle Settles,Video shows boxes of books removed from a middle school library that were “banned by the DeSantis regime in Florida.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
143,Maria Briceño,La guanábana “es considerada como la quimioterapia natural”.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
144,Jeff Cercone,30 tons of lost ammonium nitrate on a California-bound train suggest an orchestrated conspiracy.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
145,Sara Swann,Pop-Tarts and other foods “have antifreeze in them.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
146,Vanessa Swales,On exceptions to Wisconsin's abortion ban,Derrick Van Orden,"June 1, 2023",half-flip,FAKE,0,FAKE,
147,Tom Kertscher,"Video shows officials in Maricopa County, Arizona, ""illegally breaking into"" voting machines.",Instagram posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
148,Matthew Crowley,“There's not been a single book banned in the state of Florida.”,Ron DeSantis,"May 31, 2023",FALSE,FAKE,0,FAKE,
149,Loreben Tuquero,"Chick-fil-A “just hired a VP of Diversity, Equity and Inclusion.”",Tweets,"May 31, 2023",FALSE,FAKE,0,FAKE,
150,Grace Abels,Roseanne Barr made a video of a rainbow in a sprinkler questioning 'what the heck is in our water supply.',TikTok posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
151,Samantha Putterman,“Arizona BANS Electronic Voting Machines.”,Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
152,Madison Czopek,"""Si trabajaste en el año 2020 puede ser que te deban muchísimo dinero” a través de un “crédito que está activo hasta ahora”.",Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
153,Jeff Cercone,“Miami-Dade County has banned” Amanda Gorman’s poem “from elementary schools.”,Instagram posts,"May 31, 2023",barely-true,FAKE,0,FAKE,
154,Andy Nguyen,A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice “within the next five to seven years.”,Alex Epstein,"May 31, 2023",half-true,REAL,1,,REAL
155,Gabrielle Settles,"""F.ight BREAKS as C.omer SHUTS UP Biden's lawyer with B0MBSHELL.""",Facebook posts,"May 31, 2023",pants-fire,FAKE,0,FAKE,
156,Madison Czopek,House Speaker Kevin McCarthy called for the immediate “expulsion and prosecution of Rep. Adam Schiff for committing crimes of treason against the United States.”,Instagram posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
157,Maria Briceño,Says Ron DeSantis said Puerto Rico’s flag can’t be displayed in Florida.,TikTok posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
158,Loreben Tuquero,"Rep. Eric Swalwell, D-Calif., is facing charges after “lying” to Rep. Jim Jordan, R-Ohio.",Facebook posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
159,Loreben Tuquero,Video shows Rep. Nancy Pelosi being arrested.,Instagram posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
160,Maria Briceño,"""Estelas de aviones ... están modificadas con químicos por gobiernos poderosos para enfermar a las personas con fines económicos manipulativos y de reducción de la población"".",Facebook posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
161,Marta Campabadal,"Estas imágenes tomadas ""con 100 años de diferencia"" muestran que el nivel del mar no ha subido.",Facebook posts,"• May 30,",FALSE,FAKE,0,FAKE,
162,Tom Kertscher,"Electric vehicles are a ""giant computer that can be controlled remotely from some cloud-based central grid.""",Facebook posts,"May 26, 2023",barely-true,FAKE,0,FAKE,
163,Andy Nguyen,“Adam Schiff just got served” with a $16 million fine for Russia collusion investigation.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
164,Gabrielle Settles,"Says Bill Gates visited Jeffrey Epstein’s Island ""37 times.""",Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
165,Loreben Tuquero,“50 U.S. politicians who received satellite phones were taken to an undisclosed government bunker facility to ensure a Continuation of Government.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
166,Maria Ramirez,“Ron DeSantis voted against the wall.”,MAGA Inc,"• May 26,",barely-true,FAKE,0,FAKE,
167,Sara Swann,"""1,000,000 Ukraine soldiers wiped out”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
168,Gabrielle Settles,"“If you shopped at Walmart in 2022, you could be entitled to a $500 refund!”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
169,Madison Czopek,North Korean leader Kim Jong-un “just ordered the evacuation of the capital city.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
170,Louis Jacobson,"Said he was “able to convince India, Australia, Japan, and the United States to form an organization called the Quad to maintain stability in the Indian Ocean and the South China Sea.""",Joe Biden,"May 26, 2023",barely-true,FAKE,0,FAKE,
171,Jeff Cercone,U.S. destroyer recently fired at an armed Iranian ship.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
172,Loreben Tuquero,A list shows violent crimes in Los Angeles that “people will be set free on as of today.”,Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
173,Sara Swann,Video shows a U.S. military member opening a border gate and allowing immigrants to enter the country illegally.,TikTok posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
